Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
1964-07-31,100,100,100,100,nan
1964-08-31,98.81,98.81,98.81,98.81,nan
1964-09-30,101.21,101.21,101.21,101.21,nan
1964-11-30,101.42,101.42,101.42,101.42,nan
1964-12-31,101.45,101.45,101.45,101.45,nan
1965-03-31,91.49,91.49,91.49,91.49,nan
1965-04-30,90.33,90.33,90.33,90.33,nan
1965-05-31,85.23,85.23,85.23,85.23,nan
1965-06-30,86.1,86.1,86.1,86.1,nan
1965-08-31,84.26,84.26,84.26,84.26,nan
1965-09-30,81,81,81,81,nan
1965-11-30,77.95,77.95,77.95,77.95,nan
1965-12-31,82.14,82.14,82.14,82.14,nan
1966-01-31,84.82,84.82,84.82,84.82,nan
1966-02-28,85.81,85.81,85.81,85.81,nan
1966-03-31,83.05,83.05,83.05,83.05,nan
1966-05-31,82.15,82.15,82.15,82.15,nan
1966-06-30,83.77,83.77,83.77,83.77,nan
1966-08-31,80.51,80.51,80.51,80.51,nan
1966-09-30,79.57,79.57,79.57,79.57,nan
1966-10-31,79.1,79.1,79.1,79.1,nan
1966-11-30,81.25,81.25,81.25,81.25,nan
1967-01-31,79.83,79.83,79.83,79.83,nan
1967-02-28,79.12,79.12,79.12,79.12,nan
1967-03-31,76.87,76.87,76.87,76.87,nan
1967-05-31,66.73,66.73,66.73,66.73,nan
1967-06-30,60.15,60.15,60.15,60.15,nan
1967-07-31,63.08,63.08,63.08,63.08,nan
1967-08-31,58.61,58.61,58.61,58.61,nan
1967-10-31,67.2,67.2,67.2,67.2,nan
1967-11-30,66.36,66.36,66.36,66.36,nan
1968-01-31,67.57,67.57,67.57,67.57,nan
1968-02-29,64.46,64.46,64.46,64.46,nan
1968-04-30,67.12,67.12,67.12,67.12,nan
1968-05-31,71.34,71.34,71.34,71.34,nan
1968-07-31,82.77,82.77,82.77,82.77,nan
1968-09-30,87.16,87.16,87.16,87.16,nan
1968-10-31,98.15,98.15,98.15,98.15,nan
1968-12-31,107.55,107.55,107.55,107.55,nan
1969-01-31,116.51,116.51,116.51,116.51,nan
1969-02-28,115.39,115.39,115.39,115.39,nan
1969-03-31,112.53,112.53,112.53,112.53,nan
1969-04-30,114.6,114.6,114.6,114.6,nan
1969-06-30,119.76,119.76,119.76,119.76,nan
1969-07-31,118.63,118.63,118.63,118.63,nan
1969-09-30,141.41,141.41,141.41,141.41,nan
1969-10-31,160.05,160.05,160.05,160.05,nan
1969-11-24,158.5,158.5,158.5,158.5,nan
1969-11-25,156.78,156.78,156.78,156.78,nan
1969-11-26,155.35,155.35,155.35,155.35,nan
1969-11-27,155.51,155.51,155.51,155.51,nan
1969-11-28,157.01,157.01,157.01,157.01,nan
1969-12-01,152.71,152.71,152.71,152.71,nan
1969-12-02,150.98,150.98,150.98,150.98,nan
1969-12-03,150.86,150.86,150.86,150.86,nan
1969-12-04,149.73,149.73,149.73,149.73,nan
1969-12-05,147.33,147.33,147.33,147.33,nan
1969-12-08,149.19,149.19,149.19,149.19,nan
1969-12-09,149.53,149.53,149.53,149.53,nan
1969-12-10,149.04,149.04,149.04,149.04,nan
1969-12-11,150.95,150.95,150.95,150.95,nan
1969-12-12,152.25,152.25,152.25,152.25,nan
1969-12-15,151.59,151.59,151.59,151.59,nan
1969-12-16,150.47,150.47,150.47,150.47,nan
1969-12-17,150.64,150.64,150.64,150.64,nan
1969-12-18,150.24,150.24,150.24,150.24,nan
1969-12-19,150.27,150.27,150.27,150.27,nan
1969-12-22,150.56,150.56,150.56,150.56,nan
1969-12-23,150.79,150.79,150.79,150.79,nan
1969-12-24,151.75,151.75,151.75,151.75,nan
1969-12-29,153.52,153.52,153.52,153.52,nan
1969-12-30,155.47,155.47,155.47,155.47,nan
1969-12-31,155.47,155.47,155.47,155.47,nan
1970-01-02,155.38,155.38,155.38,155.38,nan
1970-01-05,154.75,154.75,154.75,154.75,nan
1970-01-06,155.45,155.45,155.45,155.45,nan
1970-01-07,155.73,155.73,155.73,155.73,nan
1970-01-08,156.96,156.96,156.96,156.96,nan
1970-01-09,156.23,156.23,156.23,156.23,nan
1970-01-12,156.68,156.68,156.68,156.68,nan
1970-01-13,156.78,156.78,156.78,156.78,nan
1970-01-14,156.23,156.23,156.23,156.23,nan
1970-01-15,156.88,156.88,156.88,156.88,nan
1970-01-16,157.84,157.84,157.84,157.84,nan
1970-01-19,158.52,158.52,158.52,158.52,nan
1970-01-20,159.16,159.16,159.16,159.16,nan
1970-01-21,160.69,160.69,160.69,160.69,nan
1970-01-22,161.06,161.06,161.06,161.06,nan
1970-01-23,160.58,160.58,160.58,160.58,nan
1970-01-26,160.06,160.06,160.06,160.06,nan
1970-01-27,160.62,160.62,160.62,160.62,nan
1970-01-28,160.79,160.79,160.79,160.79,nan
1970-01-29,161.45,161.45,161.45,161.45,nan
1970-01-30,164.11,164.11,164.11,164.11,nan
1970-02-02,165.23,165.23,165.23,165.23,nan
1970-02-03,164.89,164.89,164.89,164.89,nan
1970-02-04,165.57,165.57,165.57,165.57,nan
1970-02-05,167.29,167.29,167.29,167.29,nan
1970-02-10,168.41,168.41,168.41,168.41,nan
1970-02-11,168.49,168.49,168.49,168.49,nan
1970-02-12,166.6,166.6,166.6,166.6,nan
1970-02-13,166.22,166.22,166.22,166.22,nan
1970-02-16,166.33,166.33,166.33,166.33,nan
1970-02-17,166.67,166.67,166.67,166.67,nan
1970-02-18,167.4,167.4,167.4,167.4,nan
1970-02-19,167.41,167.41,167.41,167.41,nan
1970-02-20,169.11,169.11,169.11,169.11,nan
1970-02-23,171.46,171.46,171.46,171.46,nan
1970-02-24,171.77,171.77,171.77,171.77,nan
